date,countryIsoCode,users
2022-02-15,SE,208
2022-02-16,AT,56
2022-02-16,CH,48
2022-02-16,DE,520
2022-02-16,FR,313
2022-02-16,IT,615
2022-02-16,SE,211
2022-02-17,AT,53
2022-02-17,CH,63
2022-02-17,DE,512
2022-02-17,FR,311
2022-02-17,IT,603
2022-02-17,SE,179
2022-02-18,AT,49
2022-02-18,CH,44
2022-02-18,DE,432
2022-02-18,FR,268
2022-02-18,IT,756
2022-02-18,SE,191
2022-02-19,AT,30
2022-02-19,CH,28
2022-02-19,DE,252
2022-02-19,FR,132
2022-02-19,IT,749
2022-02-19,SE,79
2022-02-20,AT,30
2022-02-20,CH,29
2022-02-20,DE,253
2022-02-20,FR,129
2022-02-20,IT,796
2022-02-20,SE,73
2022-02-21,AT,50
2022-02-21,CH,48
2022-02-21,DE,514
2022-02-21,FR,366
2022-02-21,IT,1112
2022-02-21,SE,210
2022-02-22,AT,53
2022-02-22,CH,56
2022-02-22,DE,516
2022-02-22,FR,306
2022-02-22,IT,1049
2022-02-22,SE,216
2022-02-23,AT,50
2022-02-23,CH,42
2022-02-23,DE,492
2022-02-23,FR,276
2022-02-23,IT,1019
2022-02-23,SE,178
2022-02-24,AT,41
2022-02-24,CH,46
2022-02-24,DE,438
2022-02-24,FR,321
2022-02-24,IT,924
2022-02-24,SE,178
2022-02-25,AT,37
2022-02-25,CH,34
2022-02-25,DE,376
2022-02-25,FR,238
2022-02-25,IT,905
2022-02-25,SE,132
2022-02-26,AT,18
2022-02-26,CH,20
2022-02-26,DE,182
2022-02-26,FR,128
2022-02-26,IT,865
2022-02-26,SE,67
2022-02-27,AT,31
2022-02-27,CH,27
2022-02-27,DE,205
2022-02-27,FR,91
2022-02-27,IT,934
2022-02-27,SE,59
2022-02-28,AT,52
2022-02-28,CH,38
2022-02-28,DE,464
2022-02-28,FR,345
2022-02-28,IT,1292
2022-02-28,SE,196
2022-03-01,AT,51
2022-03-01,CH,44
2022-03-01,DE,430
2022-03-01,FR,297
2022-03-01,IT,605
2022-03-01,SE,181
2022-03-02,AT,54
2022-03-02,CH,44
2022-03-02,DE,465
2022-03-02,FR,280
2022-03-02,IT,566
2022-03-02,SE,170
2022-03-03,AT,59
2022-03-03,CH,41
2022-03-03,DE,452
2022-03-03,FR,283
2022-03-03,IT,539
2022-03-03,SE,136
2022-03-04,AT,31
2022-03-04,CH,32
2022-03-04,DE,382
2022-03-04,FR,244
2022-03-04,IT,517
2022-03-04,SE,137
2022-03-05,AT,30
2022-03-05,CH,18
2022-03-05,DE,193
2022-03-05,FR,108
2022-03-05,IT,304
2022-03-05,SE,48
2022-03-06,AT,20
2022-03-06,CH,24
2022-03-06,DE,230
2022-03-06,FR,124
2022-03-06,IT,299
2022-03-06,SE,65
2022-03-07,AT,54
2022-03-07,CH,46
2022-03-07,DE,469
2022-03-07,FR,294
2022-03-07,IT,570
2022-03-07,SE,166
2022-03-08,AT,36
2022-03-08,CH,39
2022-03-08,DE,410
2022-03-08,FR,314
2022-03-08,IT,535
2022-03-08,SE,181
2022-03-09,AT,27
2022-03-09,CH,35
2022-03-09,DE,441
2022-03-09,FR,304
2022-03-09,IT,578
2022-03-09,SE,184
2022-03-10,AT,32
2022-03-10,CH,53
2022-03-10,DE,431
2022-03-10,FR,295
2022-03-10,IT,551
2022-03-10,SE,201
2022-03-11,AT,34
2022-03-11,CH,32
2022-03-11,DE,371
2022-03-11,FR,294
2022-03-11,IT,499
2022-03-11,SE,173
2022-03-12,AT,31
2022-03-12,CH,29
2022-03-12,DE,231
2022-03-12,FR,120
2022-03-12,IT,288
2022-03-12,SE,67
2022-03-13,AT,26
2022-03-13,CH,25
2022-03-13,DE,222
2022-03-13,FR,124
2022-03-13,IT,251
2022-03-13,SE,88
2022-03-14,AT,35
2022-03-14,CH,57
2022-03-14,DE,492
2022-03-14,FR,328
2022-03-14,IT,504
2022-03-14,SE,223
2022-03-15,AT,53
2022-03-15,CH,54
2022-03-15,DE,486
2022-03-15,FR,355
2022-03-15,IT,596
2022-03-15,SE,214
2022-03-16,AT,55
2022-03-16,CH,56
2022-03-16,DE,486
2022-03-16,FR,322
2022-03-16,IT,534
2022-03-16,SE,221
2022-03-17,AT,46
2022-03-17,CH,69
2022-03-17,DE,456
2022-03-17,FR,282
2022-03-17,IT,523
2022-03-17,SE,202
2022-03-18,AT,33
2022-03-18,CH,43
2022-03-18,DE,415
2022-03-18,FR,295
2022-03-18,IT,467
2022-03-18,SE,180
2022-03-19,AT,27
2022-03-19,CH,21
2022-03-19,DE,208
2022-03-19,FR,135
2022-03-19,IT,279
2022-03-19,SE,78
2022-03-20,AT,35
2022-03-20,CH,26
2022-03-20,DE,223
2022-03-20,FR,124
2022-03-20,IT,238
2022-03-20,SE,71
2022-03-21,AT,49
2022-03-21,CH,41
2022-03-21,DE,478
2022-03-21,FR,357
2022-03-21,IT,538
2022-03-21,SE,226
2022-03-22,AT,44
2022-03-22,CH,58
2022-03-22,DE,516
2022-03-22,FR,343
2022-03-22,IT,487
2022-03-22,SE,209
2022-03-23,AT,50
2022-03-23,CH,62
2022-03-23,DE,456
2022-03-23,FR,322
2022-03-23,IT,429
2022-03-23,SE,198
2022-03-24,AT,50
2022-03-24,CH,41
2022-03-24,DE,437
2022-03-24,FR,308
2022-03-24,IT,402
2022-03-24,SE,200
2022-03-25,AT,41
2022-03-25,CH,37
2022-03-25,DE,383
2022-03-25,FR,272
2022-03-25,IT,465
2022-03-25,SE,176
2022-03-26,AT,21
2022-03-26,CH,27
2022-03-26,DE,195
2022-03-26,FR,122
2022-03-26,IT,310
2022-03-26,SE,62
2022-03-27,AT,25
2022-03-27,CH,13
2022-03-27,DE,217
2022-03-27,FR,122
2022-03-27,IT,216
2022-03-27,SE,93
2022-03-28,AT,46
2022-03-28,CH,50
2022-03-28,DE,507
2022-03-28,FR,351
2022-03-28,IT,532
2022-03-28,SE,230
2022-03-29,AT,67
2022-03-29,CH,51
2022-03-29,DE,488
2022-03-29,FR,354
2022-03-29,IT,532
2022-03-29,SE,219
2022-03-30,AT,49
2022-03-30,CH,52
2022-03-30,DE,449
2022-03-30,FR,321
2022-03-30,IT,580
2022-03-30,SE,226
2022-03-31,AT,51
2022-03-31,CH,49
2022-03-31,DE,474
2022-03-31,FR,332
2022-03-31,IT,583
2022-03-31,SE,223
2022-04-01,AT,49
2022-04-01,CH,49
2022-04-01,DE,405
2022-04-01,FR,286
2022-04-01,IT,587
2022-04-01,SE,178
2022-04-02,AT,41
2022-04-02,CH,27
2022-04-02,DE,252
2022-04-02,FR,145
2022-04-02,IT,317
2022-04-02,SE,76
2022-04-03,AT,37
2022-04-03,CH,39
2022-04-03,DE,258
2022-04-03,FR,129
2022-04-03,IT,286
2022-04-03,SE,80
2022-04-04,AT,60
2022-04-04,CH,57
2022-04-04,DE,552
2022-04-04,FR,414
2022-04-04,IT,552
2022-04-04,SE,305
2022-04-05,AT,64
2022-04-05,CH,59
2022-04-05,DE,549
2022-04-05,FR,405
2022-04-05,IT,633
2022-04-05,SE,237
2022-04-06,AT,56
